file_name,name,aadhaar_number,address
aadhaar_10_page1.txt,Ryan Om,948143009408,"99/92, Tella Chowk, Surendranagar Dudhrej 098945"
aadhaar_11_page1.txt,Girish Jain,659811509588,"62/776, Parmar Street, Bangalore 170049"
aadhaar_12_page1.txt,Ranbir Seshadri,282083170050,"09/17, Parmer Ganj, Indore-944597"
aadhaar_13_page1.txt,Daniel Barad,350943889256,"74/391, Bakshi, Durg-901940"
aadhaar_14_page1.txt,Ojas Batta,028016844616,"H.No. 80, Ratti Ganj, Sangli-Miraj & Kupwad-912978"
aadhaar_15_page1.txt,Henry Sodhi,687448273423,"36, Garg Street, Loni-557086"
aadhaar_16_page1.txt,Omkaar Parikh,517061016386,"35/96, Kota Path, Bhubaneswar-632612"
aadhaar_17_page1.txt,Ekansh Agarwal,520614783051,"H.No. 276, Kaur Road, Dehradun-974776"
aadhaar_18_page1.txt,Urmi Yohannan,979824891475,"H.No. 019, Mannan Road, Bharatpur 664762"
aadhaar_19_page1.txt,Chameli Viswanathan,583694439322,"976, Kibe Marg, Gandhinagar 838514"
aadhaar_1_page1.txt,Veda Chokshi,126062331281,"H.No. 84, Majumdar Chowk, Nanded-166647"
aadhaar_20_page1.txt,Varenya Sagar,124578071451,"70, Pillay Marg, Berhampore-730719"
aadhaar_2_page1.txt,Amruta Memon,830638555489,"911, Sheth Zila, Chinsurah-447342"
aadhaar_3_page1.txt,Sanya Talwar,493108710964,"H.No. 57, Patil Street, Rajpur Sonarpur 369675"
aadhaar_4_page1.txt,Ekalinga Naik,068563195280,"H.No. 343, Varkey Road, Mehsana 585777"
aadhaar_5_page1.txt,Harish Sachar,220491888226,"987, Walla, Narasaraopet 791584"
aadhaar_6_page1.txt,Chaman Chaudhari,662194982596,"76/64, Mane Street, Imphal-962125"
aadhaar_7_page1.txt,Pallavi Bahl,143483242219,"H.No. 135, Behl Street, Kota-992978"
aadhaar_8_page1.txt,Guneet Kaur,341559646604,"37/026, Lad Path, Tiruchirappalli-794978"
aadhaar_9_page1.txt,Laksh Oza,252674762233,"56/984, Shanker Path, Tiruvottiyur-052070"
