filename,doctype,name,dob,age,gender,identifier,address,father_name
aadhaar_1.png,AADHAAR,Manikya Taneja,17-02-2006,19,Male,833475476655,"296 Lal, Vijayawada, Odisha - 412365",Jhanvi Arora
aadhaar_1.pdf,AADHAAR,Manikya Taneja,17-02-2006,19,Male,833475476655,"296 Lal, Vijayawada, Odisha - 412365",Jhanvi Arora
aadhaar_2.png,AADHAAR,Khushi Konda,29-07-1983,42,Other,770970056030,"72/140 Chawla Ganj, Sri Ganganagar, Tamil Nadu - 678141",Yuvraj  Varma
aadhaar_2.pdf,AADHAAR,Khushi Konda,29-07-1983,42,Other,770970056030,"72/140 Chawla Ganj, Sri Ganganagar, Tamil Nadu - 678141",Yuvraj  Varma
aadhaar_3.png,AADHAAR,Amani Arora,25-06-1984,41,Female,684353569836,"62/909 Brahmbhatt, Naihati, Gujarat - 482582",Shayak Sharaf
aadhaar_3.pdf,AADHAAR,Amani Arora,25-06-1984,41,Female,684353569836,"62/909 Brahmbhatt, Naihati, Gujarat - 482582",Shayak Sharaf
aadhaar_4.png,AADHAAR,Amira Kumer,02-09-1959,66,Other,653136747454,"09 Aggarwal, Guntakal, Himachal Pradesh - 586137",Kanav Rastogi
aadhaar_4.pdf,AADHAAR,Amira Kumer,02-09-1959,66,Other,653136747454,"09 Aggarwal, Guntakal, Himachal Pradesh - 586137",Kanav Rastogi
aadhaar_5.png,AADHAAR,Shlok Rajagopalan,31-08-1963,62,Male,337495790335,"08 Biswas Path, Bhind, Telangana - 595894",Divyansh Chahal
aadhaar_5.pdf,AADHAAR,Shlok Rajagopalan,31-08-1963,62,Male,337495790335,"08 Biswas Path, Bhind, Telangana - 595894",Divyansh Chahal
aadhaar_6.png,AADHAAR,Shaan Bhatti,22-02-1989,36,Female,980869862205,"337 Borra Path, Adoni, Mizoram - 083887",Badal Bhatnagar
aadhaar_6.pdf,AADHAAR,Shaan Bhatti,22-02-1989,36,Female,980869862205,"337 Borra Path, Adoni, Mizoram - 083887",Badal Bhatnagar
aadhaar_7.png,AADHAAR,Anya Kara,28-02-1983,42,Male,154360982427,"17/561 Bhargava, Howrah, Mizoram - 253673",Divit Bhakta
aadhaar_7.pdf,AADHAAR,Anya Kara,28-02-1983,42,Male,154360982427,"17/561 Bhargava, Howrah, Mizoram - 253673",Divit Bhakta
aadhaar_8.png,AADHAAR,Fateh Bir,20-07-1989,36,Male,772023847141,"H.No. 03 Chhabra Ganj, Tumkur, Chhattisgarh - 239242",Emir Lad
aadhaar_8.pdf,AADHAAR,Fateh Bir,20-07-1989,36,Male,772023847141,"H.No. 03 Chhabra Ganj, Tumkur, Chhattisgarh - 239242",Emir Lad
